FieldName,DataType
S_LOADAT,DATS
OH_DATE2,DATS
GLO_RUS_TTX_RMVD,DATS
GUELTIGBIS_OLD,DATS
ST_ENDDA,DATS
EWFIN,DATS
F13_N_BUDAT_SAP,DATS
LAST_DUNNDATE,DATS
POIED,DATS
DATE_COL,DATS
GBDTW,DATS
ZUORDDAT,DATS
J_3GLABPERS,DATS
BEGUA,DATS
FPEDATE,DATS
P_GULDT,DATS
COR_BUDAT,DATS
HDR_DATETO,DATS
PROOF_DATE,DATS
BEDAT_E,DATS
DATE_REPOST,DATS
STODTA,DATS
ACCOUNTING_DOCUMENT_POSTING_DA,DATS
DAT_EIND_TV,DATS
RELSWIRTUEBG,DATS
ELIGIBLE_TO,DATS
KJEND,DATS
DATEUNTIL,DATS
FLEND,DATS
VFDAT_I,DATS
TODATE_LOC,DATS
PLNNDDELIVERYDATE,DATS
RELDA,DATS
DANPAB,DATS
OLD_VRBDT,DATS
ORIG_PLAN_DATE,DATS
DELPER_FROM,DATS
DAPBIS,DATS
ACHGD,DATS
PRBEG15,DATS
LPERFR,DATS
DAKTIV,DATS
DSTORNO,DATS
SCHED_ON,DATS
DCRDAT_VTBFHAZU,DATS
S_DATE_F,DATS
ADJMNOOCCUPYRODATE,DATS
LATENDDATE,DATS
PWDLOCKDATE,DATS
DREFDAT,DATS
DATE_RECEIPT,DATS
REQUESTEDLOADINGDATE1,DATS
CONDVALIDTO_BD05,DATS
FI_CLEARING_DATE,DATS
EFF_FROM_DT_LOW,DATS
CONDISVALIDFROM,DATS
R46B,DATS
SSADD,DATS
DATUMW,DATS
LINE2,DATS
DATETIME_DELIVERY,DATS
DATE_CHG_DEDUCT,DATS
DATFH,DATS
ENDZR12,DATS
CON_CARD_LUSED,DATS
DGUELBI,DATS
ACMP_E_DATE,DATS
WYQ31S,DATS
AVKBI,DATS
DATUM_RED_PAUSCH,DATS
VERSIONFROMDATE,DATS
TXDAT_KK,DATS
KDAY,DATS
KEYDATE_DE,DATS
BEGDAOCG,DATS
NTREVERSEDON,DATS
FAKDATUM,DATS
EXEC_D,DATS
MAXDGUELAB,DATS
TER_DATE,DATS
DMARKTZINS,DATS
DAE22,DATS
BEGDATE,DATS
FIDSI,DATS
ERSBI_MIN,DATS
EPROG,DATS
KEKO1KADAT,DATS
RESUBMISSION,DATS
NLABD_I,DATS
L_SDA_02,DATS
VALID_TO_LOW,DATS
UTD21,DATS
BEGINDATE14,DATS
EXERCISE_DATE5,DATS
